elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
16144,BATTLE_START,200,0,0,20,"config={'run_label':'strong_sentinels','wasp_health':200,'wasp_attack_radius':50,'wasp_max_kills':2,'wasp_speed':3,'sentinel_counter_radius':130,'sentinel_counter_damage':35,'counter_attack_threshold':2,'llm_rate_limit_ms':5000}"
17343,LLM_DECISION,-1,10,10,20,"call=1 target=(514,474) near50=1 near100=4 safe=false fallback=false"
24130,SENTINEL_KILLED,200,230,220,15,"killed=[worker15] total_killed=1"
26663,LLM_DECISION,-1,310,291,22,"call=2 target=(53,368) near50=2 near100=3 safe=false fallback=false"
28145,COUNTER_ATTACK,165,256,296,21,"damage=35 attackers=2 hp_after=165"
28894,SENTINEL_KILLED,165,230,305,19,"killed=[worker1_2] total_killed=2"
29508,SENTINEL_KILLED,165,210,312,18,"killed=[worker17] total_killed=3"
32814,COUNTER_ATTACK,130,96,353,17,"damage=35 attackers=2 hp_after=130"
33523,LLM_DECISION,-1,70,362,18,"call=3 target=(169,456) near50=1 near100=2 safe=false fallback=false"
34382,SENTINEL_KILLED,110,104,396,16,"killed=[worker4_2] total_killed=4"
34534,COUNTER_ATTACK,75,110,402,16,"damage=35 attackers=3 hp_after=75"
34889,SENTINEL_KILLED,75,124,415,16,"killed=[worker6_1] total_killed=5"
35404,SENTINEL_KILLED,75,144,433,13,"killed=[worker8_1] total_killed=6"
35757,LLM_DECISION,-1,156,444,12,"call=4 target=(639,514) near50=1 near100=2 safe=false fallback=true"
38441,COUNTER_ATTACK,40,262,444,16,"damage=35 attackers=2 hp_after=40"
39578,COUNTER_ATTACK,5,302,444,16,"damage=35 attackers=2 hp_after=5"
40808,COUNTER_ATTACK,0,342,444,18,"damage=35 attackers=2 hp_after=0"
40808,SENTINEL_WIN,0,0,0,18,"duration_ms=40808"
