elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
15142,BATTLE_START,350,0,0,20,"config={'run_label':'strong_wasp','wasp_health':350,'wasp_attack_radius':70,'wasp_max_kills':3,'wasp_speed':5,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'llm_rate_limit_ms':5000}"
16261,LLM_DECISION,-1,10,10,20,"call=1 target=(485,566) near50=1 near100=3 safe=false fallback=false"
21314,COUNTER_ATTACK,330,254,258,18,"damage=20 attackers=2 hp_after=330"
21683,SENTINEL_KILLED,330,272,282,16,"killed=[worker9_1] total_killed=1"
22298,SENTINEL_KILLED,330,302,322,10,"killed=[worker15, worker17] total_killed=3"
24704,SENTINEL_KILLED,330,419,478,10,"killed=[worker4_1] total_killed=4"
25567,LLM_DECISION,-1,458,530,14,"call=2 target=(210,501) near50=0 near100=0 safe=true fallback=false"
29194,LLM_DECISION,-1,226,505,17,"call=3 target=(115,420) near50=0 near100=0 safe=true fallback=false"
30792,LLM_DECISION,-1,131,432,17,"call=4 target=(586,188) near50=2 near100=3 safe=false fallback=true"
37620,LLM_DECISION,-1,570,200,13,"call=5 target=(470,72) near50=0 near100=2 safe=false fallback=false"
39530,LLM_DECISION,-1,482,88,15,"call=6 target=(442,200) near50=2 near100=2 safe=false fallback=true"
41065,LLM_DECISION,-1,449,184,18,"call=7 target=(745,433) near50=3 near100=3 safe=false fallback=true"
42296,COUNTER_ATTACK,310,509,244,17,"damage=20 attackers=3 hp_after=310"
42419,SENTINEL_KILLED,310,515,250,16,"killed=[worker18] total_killed=5"
43035,SENTINEL_KILLED,310,545,280,15,"killed=[worker20] total_killed=6"
44693,SENTINEL_KILLED,310,649,361,14,"killed=[worker3_1] total_killed=7"
45251,COUNTER_ATTACK,290,685,388,12,"damage=20 attackers=2 hp_after=290"
45497,SENTINEL_KILLED,290,701,400,11,"killed=[worker6_new1, worker4_2] total_killed=9"
45927,SENTINEL_KILLED,290,729,421,10,"killed=[worker4_new1, worker1_2, worker2_1] total_killed=12"
45989,LLM_DECISION,-1,729,421,10,"call=8 target=(43,197) near50=0 near100=0 safe=true fallback=false"
49889,COUNTER_ATTACK,270,449,351,13,"damage=20 attackers=2 hp_after=270"
50196,SENTINEL_KILLED,270,429,346,12,"killed=[worker2_2] total_killed=13"
54877,LLM_DECISION,-1,129,235,13,"call=9 target=(428,197) near50=0 near100=0 safe=true fallback=false"
56354,COUNTER_ATTACK,250,225,235,13,"damage=20 attackers=2 hp_after=250"
56661,SENTINEL_KILLED,250,245,235,11,"killed=[worker1_1] total_killed=14"
58815,SENTINEL_KILLED,250,385,206,8,"killed=[worker3_2] total_killed=15"
59249,LLM_DECISION,-1,409,201,8,"call=10 target=(61,454) near50=2 near100=2 safe=false fallback=false"
59862,SENTINEL_KILLED,215,369,223,7,"killed=[worker10_1] total_killed=16"
62077,COUNTER_ATTACK,195,225,331,9,"damage=20 attackers=2 hp_after=195"
64418,LLM_DECISION,-1,77,442,10,"call=11 target=(795,292) near50=1 near100=3 safe=false fallback=true"
66940,SENTINEL_KILLED,195,241,405,9,"killed=[worker16] total_killed=17"
67523,SENTINEL_KILLED,195,281,397,8,"killed=[worker6_1] total_killed=18"
71668,COUNTER_ATTACK,175,609,330,9,"damage=20 attackers=2 hp_after=175"
71870,SENTINEL_KILLED,175,625,327,8,"killed=[worker11_1] total_killed=19"
72376,SENTINEL_KILLED,175,665,319,7,"killed=[worker14] total_killed=20"
72578,LLM_DECISION,-1,677,316,7,"call=12 target=(98,133) near50=0 near100=0 safe=true fallback=false"
74900,SENTINEL_KILLED,175,493,270,6,"killed=[worker19] total_killed=21"
75111,COUNTER_ATTACK,155,477,266,6,"damage=20 attackers=2 hp_after=155"
75415,SENTINEL_KILLED,155,453,260,4,"killed=[worker10, worker5_1] total_killed=23"
77692,COUNTER_ATTACK,135,273,210,5,"damage=20 attackers=2 hp_after=135"
77793,SENTINEL_KILLED,135,265,206,4,"killed=[worker7_1] total_killed=24"
78701,SENTINEL_KILLED,135,193,175,3,"killed=[worker8_1] total_killed=25"
79763,LLM_DECISION,-1,113,140,3,"call=13 target=(637,242) near50=1 near100=1 safe=true fallback=false"
82746,SENTINEL_KILLED,135,349,183,2,"killed=[worker12_1] total_killed=26"
86232,LLM_DECISION,-1,621,238,1,"call=14 target=(458,80) near50=0 near100=0 safe=true fallback=false"
88760,LLM_DECISION,-1,473,92,2,"call=15 target=(520,281) near50=0 near100=1 safe=true fallback=true"
90981,LLM_DECISION,-1,516,264,2,"call=16 target=(792,260) near50=1 near100=1 safe=true fallback=true"
94516,LLM_DECISION,-1,776,264,1,"call=17 target=(747,301) near50=0 near100=0 safe=true fallback=false"
94869,LLM_DECISION,-1,759,285,1,"call=18 target=(486,387) near50=1 near100=1 safe=true fallback=true"
96033,SENTINEL_KILLED,135,667,308,1,"killed=[worker9] total_killed=27"
98155,LLM_DECISION,-1,503,379,1,"call=19 target=(400,300) near50=0 near100=0 safe=true fallback=false"
99457,LLM_DECISION,-1,416,312,1,"call=20 target=(274,175) near50=1 near100=1 safe=true fallback=true"
101638,LLM_DECISION,-1,289,187,1,"call=21 target=(216,117) near50=0 near100=1 safe=true fallback=true"
102699,LLM_DECISION,-1,229,127,1,"call=22 target=(120,21) near50=1 near100=1 safe=true fallback=true"
103460,SENTINEL_KILLED,135,184,82,0,"killed=[worker13] total_killed=28"
104373,WASP_WIN,135,0,0,0,"duration_ms=104373"
