elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
15125,BATTLE_START,100,0,0,20,"config={'run_label':'weak_wasp','wasp_health':100,'wasp_attack_radius':35,'wasp_max_kills':1,'wasp_speed':3,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'llm_rate_limit_ms':5000}"
16311,LLM_DECISION,-1,10,10,20,"call=1 target=(528,557) near50=2 near100=7 safe=false fallback=false"
22475,COUNTER_ATTACK,80,220,220,16,"damage=20 attackers=2 hp_after=80"
22845,SENTINEL_KILLED,80,232,232,15,"killed=[worker18] total_killed=1"
23704,COUNTER_ATTACK,60,260,260,16,"damage=20 attackers=2 hp_after=60"
25306,LLM_DECISION,-1,307,310,18,"call=2 target=(41,499) near50=1 near100=1 safe=true fallback=false"
27274,COUNTER_ATTACK,40,243,342,20,"damage=20 attackers=2 hp_after=40"
27681,SENTINEL_KILLED,40,227,350,19,"killed=[worker8_1] total_killed=2"
28287,COUNTER_ATTACK,20,203,362,20,"damage=20 attackers=4 hp_after=20"
29552,SENTINEL_KILLED,20,153,399,18,"killed=[worker2_2] total_killed=3"
32080,LLM_DECISION,-1,55,486,17,"call=3 target=(171,48) near50=0 near100=0 safe=true fallback=false"
33443,SENTINEL_KILLED,20,55,432,12,"killed=[worker10_1] total_killed=4"
40721,LLM_DECISION,-1,122,186,18,"call=4 target=(162,142) near50=0 near100=0 safe=true fallback=false"
41705,LLM_DECISION,-1,149,156,17,"call=5 target=(454,19) near50=2 near100=3 safe=false fallback=true"
47117,COUNTER_ATTACK,0,333,64,19,"damage=20 attackers=2 hp_after=0"
47118,SENTINEL_WIN,0,0,0,19,"duration_ms=47117"
