elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
15090,BATTLE_START,200,0,0,20,"config={'run_label':'strong_sentinels','wasp_health':200,'wasp_attack_radius':50,'wasp_max_kills':2,'wasp_speed':3,'sentinel_counter_radius':130,'sentinel_counter_damage':35,'counter_attack_threshold':2,'auto_exit':true,'llm_enabled':true,'llm_rate_limit_ms':3000}"
16126,LLM_DECISION,-1,10,10,20,"call=1 target=(408,453) near50=1 near100=3 safe=false fallback=false"
19988,COUNTER_ATTACK,165,147,162,18,"damage=35 attackers=2 hp_after=165"
20192,SENTINEL_KILLED,165,155,170,17,"killed=[worker11_1] total_killed=1"
20699,SENTINEL_KILLED,165,172,190,17,"killed=[worker3_2] total_killed=2"
21004,COUNTER_ATTACK,130,183,202,17,"damage=35 attackers=2 hp_after=130"
22014,COUNTER_ATTACK,95,219,242,19,"damage=35 attackers=2 hp_after=95"
23331,COUNTER_ATTACK,60,265,294,18,"damage=35 attackers=2 hp_after=60"
23787,LLM_DECISION,-1,280,310,18,"call=2 target=(251,136) near50=1 near100=1 safe=true fallback=false"
24493,SENTINEL_KILLED,40,280,282,17,"killed=[worker18] total_killed=3"
24796,COUNTER_ATTACK,5,280,270,17,"damage=35 attackers=3 hp_after=5"
26562,SENTINEL_KILLED,5,274,200,15,"killed=[worker2_1] total_killed=4"
27774,LLM_DECISION,-1,258,154,12,"call=3 target=(287,153) near50=0 near100=1 safe=true fallback=false"
28078,LLM_DECISION,-1,268,154,13,"call=4 target=(643,538) near50=2 near100=3 safe=false fallback=true"
29798,COUNTER_ATTACK,0,336,222,13,"damage=35 attackers=2 hp_after=0"
29798,SENTINEL_WIN,0,0,0,13,"duration_ms=29798"
