elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
14083,BATTLE_START,200,0,0,20,"config={'run_label':'no_llm','wasp_health':200,'wasp_attack_radius':50,'wasp_max_kills':2,'wasp_speed':3,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'auto_exit':true,'llm_enabled':false,'llm_rate_limit_ms':3000}"
14141,LLM_DECISION,-1,10,10,20,"call=1 target=(433,489) near50=2 near100=3 safe=false fallback=true"
19324,SENTINEL_KILLED,200,187,214,18,"killed=[worker7_1] total_killed=1"
19831,COUNTER_ATTACK,180,205,234,18,"damage=20 attackers=2 hp_after=180"
20186,SENTINEL_KILLED,180,217,248,17,"killed=[worker20] total_killed=2"
21809,LLM_DECISION,-1,273,310,19,"call=2 target=(773,294) near50=1 near100=2 safe=false fallback=true"
23373,COUNTER_ATTACK,160,335,310,19,"damage=20 attackers=2 hp_after=160"
24385,COUNTER_ATTACK,140,375,310,17,"damage=20 attackers=6 hp_after=140"
24486,SENTINEL_KILLED,140,379,310,16,"killed=[worker17] total_killed=3"
25397,COUNTER_ATTACK,120,415,310,17,"damage=20 attackers=4 hp_after=120"
26411,COUNTER_ATTACK,100,455,310,19,"damage=20 attackers=3 hp_after=100"
29441,LLM_DECISION,-1,573,310,9,"call=3 target=(796,309) near50=1 near100=2 safe=false fallback=true"
30453,COUNTER_ATTACK,80,613,310,15,"damage=20 attackers=3 hp_after=80"
30655,SENTINEL_KILLED,80,621,310,14,"killed=[worker5_1] total_killed=4"
31462,COUNTER_ATTACK,60,653,310,15,"damage=20 attackers=4 hp_after=60"
31514,SENTINEL_KILLED,60,655,310,14,"killed=[worker1_2] total_killed=5"
32018,SENTINEL_KILLED,60,675,310,13,"killed=[worker15, worker8_1] total_killed=7"
32471,COUNTER_ATTACK,40,693,310,15,"damage=20 attackers=3 hp_after=40"
32522,SENTINEL_KILLED,40,695,310,14,"killed=[worker10_1] total_killed=8"
33027,SENTINEL_KILLED,40,715,310,13,"killed=[worker2_2] total_killed=9"
33532,SENTINEL_KILLED,40,735,310,10,"killed=[worker19] total_killed=10"
34643,LLM_DECISION,-1,777,310,12,"call=4 target=(247,558) near50=2 near100=2 safe=false fallback=true"
39540,SENTINEL_KILLED,40,583,407,12,"killed=[worker13] total_killed=11"
40803,SENTINEL_KILLED,40,533,432,11,"killed=[worker9_1] total_killed=12"
42266,SENTINEL_KILLED,40,477,460,10,"killed=[worker11_1] total_killed=13"
42267,LLM_DECISION,-1,477,460,10,"call=5 target=(492,330) near50=2 near100=2 safe=false fallback=true"
43277,COUNTER_ATTACK,20,477,420,10,"damage=20 attackers=2 hp_after=20"
44334,COUNTER_ATTACK,0,477,378,9,"damage=20 attackers=3 hp_after=0"
44335,SENTINEL_WIN,0,0,0,9,"duration_ms=44335"
