elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
14083,BATTLE_START,100,0,0,20,"config={'run_label':'weak_wasp','wasp_health':100,'wasp_attack_radius':35,'wasp_max_kills':1,'wasp_speed':3,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'auto_exit':true,'llm_enabled':true,'llm_rate_limit_ms':3000}"
15408,LLM_DECISION,-1,10,10,20,"call=1 target=(463,550) near50=0 near100=3 safe=false fallback=false"
20678,SENTINEL_KILLED,100,166,218,16,"killed=[worker2_2] total_killed=1"
23054,LLM_DECISION,-1,248,310,18,"call=2 target=(445,152) near50=2 near100=3 safe=false fallback=true"
24070,SENTINEL_KILLED,100,288,290,17,"killed=[worker8_1] total_killed=2"
24071,COUNTER_ATTACK,80,288,290,17,"damage=20 attackers=2 hp_after=80"
27619,COUNTER_ATTACK,60,428,167,17,"damage=20 attackers=2 hp_after=60"
27775,LLM_DECISION,-1,432,164,16,"call=3 target=(565,171) near50=0 near100=1 safe=true fallback=false"
28785,COUNTER_ATTACK,30,472,164,15,"damage=20 attackers=2 hp_after=30"
29798,COUNTER_ATTACK,10,512,164,15,"damage=20 attackers=3 hp_after=10"
30202,SENTINEL_KILLED,10,528,164,14,"killed=[worker11_1] total_killed=3"
30757,LLM_DECISION,-1,548,165,18,"call=4 target=(459,169) near50=1 near100=4 safe=false fallback=false"
31764,COUNTER_ATTACK,0,508,165,19,"damage=20 attackers=2 hp_after=0"
31764,SENTINEL_WIN,0,0,0,19,"duration_ms=31764"
