elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
15079,BATTLE_START,200,0,0,20,"config={'run_label':'baseline','wasp_health':200,'wasp_attack_radius':50,'wasp_max_kills':2,'wasp_speed':3,'sentinel_counter_radius':100,'sentinel_counter_damage':20,'counter_attack_threshold':2,'auto_exit':true,'llm_enabled':true,'llm_rate_limit_ms':3000}"
16706,LLM_DECISION,-1,10,10,20,"call=1 target=(535,444) near50=0 near100=1 safe=true fallback=false"
21240,COUNTER_ATTACK,180,188,133,16,"damage=20 attackers=2 hp_after=180"
21395,SENTINEL_KILLED,180,194,139,16,"killed=[worker12_1] total_killed=1"
21902,SENTINEL_KILLED,180,214,157,18,"killed=[worker19] total_killed=2"
24379,LLM_DECISION,-1,310,242,18,"call=2 target=(767,247) near50=2 near100=2 safe=false fallback=true"
25389,COUNTER_ATTACK,160,350,242,18,"damage=20 attackers=2 hp_after=160"
26650,COUNTER_ATTACK,140,400,242,18,"damage=20 attackers=2 hp_after=140"
27864,SENTINEL_KILLED,140,448,242,13,"killed=[worker5_1] total_killed=3"
32024,LLM_DECISION,-1,610,242,17,"call=3 target=(421,204) near50=0 near100=0 safe=true fallback=false"
33033,COUNTER_ATTACK,120,570,242,17,"damage=20 attackers=2 hp_after=120"
36424,LLM_DECISION,-1,438,210,16,"call=4 target=(546,131) near50=0 near100=0 safe=true fallback=false"
38843,LLM_DECISION,-1,532,144,16,"call=5 target=(429,99) near50=0 near100=1 safe=true fallback=false"
41068,LLM_DECISION,-1,446,105,17,"call=6 target=(484,328) near50=2 near100=4 safe=false fallback=true"
41574,SENTINEL_KILLED,120,446,125,16,"killed=[worker4_1] total_killed=4"
42079,COUNTER_ATTACK,100,446,145,17,"damage=20 attackers=2 hp_after=100"
43249,COUNTER_ATTACK,80,446,191,18,"damage=20 attackers=2 hp_after=80"
44259,COUNTER_ATTACK,60,449,231,15,"damage=20 attackers=3 hp_after=60"
44512,SENTINEL_KILLED,60,453,241,13,"killed=[worker17] total_killed=5"
45273,COUNTER_ATTACK,40,464,271,13,"damage=20 attackers=3 hp_after=40"
45732,SENTINEL_KILLED,40,470,289,11,"killed=[worker4_2] total_killed=6"
46237,SENTINEL_KILLED,40,477,309,13,"killed=[worker15] total_killed=7"
46338,LLM_DECISION,-1,478,311,13,"call=7 target=(445,23) near50=0 near100=0 safe=true fallback=false"
46893,SENTINEL_KILLED,40,478,289,14,"killed=[worker9_1] total_killed=8"
47398,SENTINEL_KILLED,40,478,269,13,"killed=[worker2_1] total_killed=9"
50884,COUNTER_ATTACK,20,478,131,15,"damage=20 attackers=2 hp_after=20"
51893,COUNTER_ATTACK,0,469,91,14,"damage=20 attackers=3 hp_after=0"
51894,SENTINEL_WIN,0,0,0,14,"duration_ms=51893"
