elapsed_ms,event_type,wasp_health,wasp_x,wasp_y,sentinel_count,detail
124590,SENTINEL_KILLED,235,472,455,1,"killed=[worker3] total_killed=28"
126067,SENTINEL_KILLED,235,588,455,1,"killed=[worker11] total_killed=29"
126370,COUNTER_ATTACK,215,612,455,2,"damage=20 attackers=2 hp_after=215"
127383,COUNTER_ATTACK,195,636,452,2,"damage=20 attackers=2 hp_after=195"
129201,LLM_DECISION,-1,636,452,1,"call=34 target=(573,287) near50=0 near100=0 safe=true fallback=false"
131128,LLM_DECISION,-1,581,304,2,"call=35 target=(409,331) near50=1 near100=1 safe=true fallback=true"
133154,LLM_DECISION,-1,425,327,2,"call=36 target=(769,361) near50=0 near100=0 safe=true fallback=false"
137348,LLM_DECISION,-1,753,357,2,"call=37 target=(529,120) near50=0 near100=0 safe=true fallback=false"
140987,LLM_DECISION,-1,541,136,2,"call=38 target=(461,188) near50=0 near100=0 safe=true fallback=false"
141850,LLM_DECISION,-1,477,176,2,"call=39 target=(400,122) near50=1 near100=1 safe=true fallback=true"
142358,SENTINEL_KILLED,195,440,152,1,"killed=[worker12] total_killed=30"
142713,LLM_DECISION,-1,416,134,1,"call=40 target=(622,350) near50=1 near100=1 safe=true fallback=true"
146056,WASP_WIN,195,0,0,0,"duration_ms=146056"
